track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/4l13n0 And Jedis - Arcade Of Your Life - Active Meditation Music - 2018/01. Jedis - Experiences.mp3,keep,1.00,Experiences,Experiences,Jedis,Jedis,,album probe clean; no change needed
/home/pio/staging-subset/4l13n0 And Jedis - Arcade Of Your Life - Active Meditation Music - 2018/02. 4l13n0 - Klein In Acidland.mp3,keep,1.00,Klein In Acidland,Klein In Acidland,4l13n0,4l13n0,,album probe clean; no change needed
/home/pio/staging-subset/4l13n0 And Jedis - Arcade Of Your Life - Active Meditation Music - 2018/03. 4l13n0 & Jedis - Error 404.mp3,keep,1.00,Error 404,Error 404,4l13n0 & Jedis,4l13n0 & Jedis,,album probe clean; no change needed
/home/pio/staging-subset/4l13n0 And Jedis - Arcade Of Your Life - Active Meditation Music - 2018/04. Jedis - Llívia.mp3,keep,1.00,Llívia,Llívia,Jedis,Jedis,,album probe clean; no change needed
/home/pio/staging-subset/4l13n0 And Jedis - Arcade Of Your Life - Active Meditation Music - 2018/05. 4l13n0 - Intro To Arcade Love.mp3,keep,1.00,Intro To Arcade Love,Intro To Arcade Love,4l13n0,4l13n0,,album probe clean; no change needed
