track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/[De]composer - Decomposer Play Parvati - Orbita Parvati - 2020/Atriohm - 1 - The Invisible Manifesto (Decomposer edit).flac,keep,1.00,The Invisible Manifesto (Decomposer edit),The Invisible Manifesto (Decomposer edit),Atriohm,Atriohm,,album probe clean; no change needed
/home/pio/staging-subset/[De]composer - Decomposer Play Parvati - Orbita Parvati - 2020/Ulvae - 2 - A Dream of Cymatics (Decomposer edit).flac,keep,1.00,A Dream of Cymatics (Decomposer edit),A Dream of Cymatics (Decomposer edit),Ulvae,Ulvae,,album probe clean; no change needed
/home/pio/staging-subset/[De]composer - Decomposer Play Parvati - Orbita Parvati - 2020/Arjuna - 3 - Cermenate Sunrise (Decomposer edit).flac,keep,1.00,Cermenate Sunrise (Decomposer edit),Cermenate Sunrise (Decomposer edit),Arjuna,Arjuna,,album probe clean; no change needed
/home/pio/staging-subset/[De]composer - Decomposer Play Parvati - Orbita Parvati - 2020/Confo - 4 - Fundamental Principle (Decomposer edit).flac,keep,1.00,Fundamental Principle (Decomposer edit),Fundamental Principle (Decomposer edit),Confo,Confo,,album probe clean; no change needed
