track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/Aardvarkk - Heroic Dosas - Bom Shanka Music - 2024/Aardvarkk & Kryptone - 8 - Scrambled.wav,propose_fix,0.75,,Scrambled,,Aardvarkk & Kryptone,,derived title from filename: 'Scrambled'; derived artist from filename: 'Aardvarkk & Kryptone'
/home/pio/staging-subset/Aardvarkk - Heroic Dosas - Bom Shanka Music - 2024/Aardvarkk - 3 - Dr Ledge.wav,propose_fix,0.75,,Dr Ledge,,Aardvarkk,,derived title from filename: 'Dr Ledge'; derived artist from filename: 'Aardvarkk'
/home/pio/staging-subset/Aardvarkk - Heroic Dosas - Bom Shanka Music - 2024/Aardvarkk - 5 - Powderpuff (Aardvarkk remix).wav,propose_fix,0.75,,Powderpuff (Aardvarkk remix),,Aardvarkk,,derived title from filename: 'Powderpuff (Aardvarkk remix)'; derived artist from filename: 'Aardvarkk'
/home/pio/staging-subset/Aardvarkk - Heroic Dosas - Bom Shanka Music - 2024/Aardvarkk - 7 - Flabbergasted.wav,propose_fix,0.75,,Flabbergasted,,Aardvarkk,,derived title from filename: 'Flabbergasted'; derived artist from filename: 'Aardvarkk'
/home/pio/staging-subset/Aardvarkk - Heroic Dosas - Bom Shanka Music - 2024/Aardvarkk - 9 - Bugpowder (Braingineers remix) (1).wav,propose_fix,0.75,,Bugpowder (Braingineers remix) (1),,Aardvarkk,,derived title from filename: 'Bugpowder (Braingineers remix) (1)'; derived artist from filename: 'Aardvarkk'
/home/pio/staging-subset/Aardvarkk - Heroic Dosas - Bom Shanka Music - 2024/Aardvarkk - 9 - Bugpowder (Braingineers remix).wav,propose_fix,0.75,,Bugpowder (Braingineers remix),,Aardvarkk,,derived title from filename: 'Bugpowder (Braingineers remix)'; derived artist from filename: 'Aardvarkk'
