track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/Abnorma - Drifter - Intermind Records - 2024/Abnorma - Abnorma - Drifter (24 bit) - 01 Sideways.flac,keep,1.00,Sideways,Sideways,Abnorma,Abnorma,,album probe clean; no change needed
/home/pio/staging-subset/Abnorma - Drifter - Intermind Records - 2024/Abnorma - Abnorma - Drifter (24 bit) - 02 Time Shift.flac,keep,1.00,Time Shift,Time Shift,Abnorma,Abnorma,,album probe clean; no change needed
/home/pio/staging-subset/Abnorma - Drifter - Intermind Records - 2024/Abnorma - Abnorma - Drifter (24 bit) - 03 Nebular.flac,keep,1.00,Nebular,Nebular,Abnorma,Abnorma,,album probe clean; no change needed
/home/pio/staging-subset/Abnorma - Drifter - Intermind Records - 2024/Abnorma - Abnorma - Drifter (24 bit) - 04 Devil's Cat.flac,keep,1.00,Devil's Cat,Devil's Cat,Abnorma,Abnorma,,album probe clean; no change needed
