track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/Ďåľĭķăōs - Ancient Ritual - Voodoo Hoodoo Records - 2018/01 - Renegade Karma (146).flac,propose_fix,0.90,Renegade Karma [146],Renegade Karma,ĎÅĽĬĶĂŌS,Ďåľĭķăōs,,stripped bpm/tempo suffix
/home/pio/staging-subset/Ďåľĭķăōs - Ancient Ritual - Voodoo Hoodoo Records - 2018/02 - Illumination (156).flac,propose_fix,0.90,Illumination [156],Illumination,ĎÅĽĬĶĂŌS,Ďåľĭķăōs,,stripped bpm/tempo suffix
/home/pio/staging-subset/Ďåľĭķăōs - Ancient Ritual - Voodoo Hoodoo Records - 2018/03 - Apocalypto (157).flac,propose_fix,0.90,Apocalypto [157],Apocalypto,ĎÅĽĬĶĂŌS,Ďåľĭķăōs,,stripped bpm/tempo suffix
/home/pio/staging-subset/Ďåľĭķăōs - Ancient Ritual - Voodoo Hoodoo Records - 2018/04 - Shaman Healing (159).flac,propose_fix,0.90,Shaman Healing [159],Shaman Healing,ĎÅĽĬĶĂŌS,Ďåľĭķăōs,,stripped bpm/tempo suffix
