track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/5Ø71 - Closed Freedom - Techlab.BP - 2021/5Ø71 - 'Closed Freedom' EP - 01 Scariest Trip Of Lockdown.flac,propose_fix,0.90,Scariest Trip Of Lockdown,Scariest Trip Of Lockdown,5Ø71,5ø71,,no changes proposed
/home/pio/staging-subset/5Ø71 - Closed Freedom - Techlab.BP - 2021/5Ø71 - 'Closed Freedom' EP - 02 Smashed Keyboard.flac,propose_fix,0.90,Smashed Keyboard,Smashed Keyboard,5Ø71,5ø71,,no changes proposed
/home/pio/staging-subset/5Ø71 - Closed Freedom - Techlab.BP - 2021/5Ø71 - 'Closed Freedom' EP - 03 Other Side Of The Coin.flac,propose_fix,0.90,Other Side Of The Coin,Other Side Of The Coin,5Ø71,5ø71,,no changes proposed
