track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/Abducted Brain - Tales From The Past - Isotropic Sounds Records - 2020/1 - Digital Information Flow.flac,keep,1.00,Digital Information Flow,Digital Information Flow,Abducted Brain,Abducted Brain,,album probe clean; no change needed
/home/pio/staging-subset/Abducted Brain - Tales From The Past - Isotropic Sounds Records - 2020/2 - Tales From the Past.flac,keep,1.00,Tales From the Past,Tales From the Past,Abducted Brain,Abducted Brain,,album probe clean; no change needed
/home/pio/staging-subset/Abducted Brain - Tales From The Past - Isotropic Sounds Records - 2020/3 - A New Energy.flac,keep,1.00,A New Energy,A New Energy,Abducted Brain,Abducted Brain,,album probe clean; no change needed
